# Mallucci (2020), IFDP 1291 (working paper), Tabla 2. Transcrito del PDF en paper/.
# OJO: en esta version el modelo usa deuda de un periodo; los niveles de deuda/PIB NO
# coinciden con la version publicada (2022). Se guarda solo como contraste historico.
# Panel A = datos; Panel B = simulado con huracan; Panel C = simulado sin huracan.
source,panel,iso3,moment,value,verified
mallucci2020_ifdp_table2,A,ATG,spread_mean_bp,448,TRUE
mallucci2020_ifdp_table2,A,BLZ,spread_mean_bp,109,TRUE
mallucci2020_ifdp_table2,A,DMA,spread_mean_bp,366,TRUE
mallucci2020_ifdp_table2,A,DOM,spread_mean_bp,483,TRUE
mallucci2020_ifdp_table2,A,GRD,spread_mean_bp,493,TRUE
mallucci2020_ifdp_table2,A,HND,spread_mean_bp,411,TRUE
mallucci2020_ifdp_table2,A,JAM,spread_mean_bp,519,TRUE
mallucci2020_ifdp_table2,A,ATG,default_freq,0.051,TRUE
mallucci2020_ifdp_table2,A,DMA,default_freq,0.026,TRUE
mallucci2020_ifdp_table2,A,DOM,default_freq,0.051,TRUE
mallucci2020_ifdp_table2,A,GRD,default_freq,0.051,TRUE
mallucci2020_ifdp_table2,A,HND,default_freq,0.026,TRUE
mallucci2020_ifdp_table2,A,JAM,default_freq,0.051,TRUE
mallucci2020_ifdp_table2,A,ATG,debt_gdp,0.36,TRUE
mallucci2020_ifdp_table2,A,BLZ,debt_gdp,0.78,TRUE
mallucci2020_ifdp_table2,A,DMA,debt_gdp,0.56,TRUE
mallucci2020_ifdp_table2,A,DOM,debt_gdp,0.25,TRUE
mallucci2020_ifdp_table2,A,GRD,debt_gdp,0.53,TRUE
mallucci2020_ifdp_table2,A,HND,debt_gdp,0.35,TRUE
mallucci2020_ifdp_table2,A,JAM,debt_gdp,0.49,TRUE
mallucci2020_ifdp_table2,A,ATG,hurricane_freq,0.138,TRUE
mallucci2020_ifdp_table2,A,BLZ,hurricane_freq,0.077,TRUE
mallucci2020_ifdp_table2,A,DMA,hurricane_freq,0.026,TRUE
mallucci2020_ifdp_table2,A,DOM,hurricane_freq,0.051,TRUE
mallucci2020_ifdp_table2,A,GRD,hurricane_freq,0.051,TRUE
mallucci2020_ifdp_table2,A,HND,hurricane_freq,0.051,TRUE
mallucci2020_ifdp_table2,A,JAM,hurricane_freq,0.103,TRUE
mallucci2020_ifdp_table2,A,ATG,gdp_loss_hurricane,-0.091,TRUE
mallucci2020_ifdp_table2,A,BLZ,gdp_loss_hurricane,-0.042,TRUE
mallucci2020_ifdp_table2,A,DMA,gdp_loss_hurricane,-0.113,TRUE
mallucci2020_ifdp_table2,A,DOM,gdp_loss_hurricane,-0.04,TRUE
mallucci2020_ifdp_table2,A,GRD,gdp_loss_hurricane,-0.089,TRUE
mallucci2020_ifdp_table2,A,HND,gdp_loss_hurricane,-0.056,TRUE
mallucci2020_ifdp_table2,A,JAM,gdp_loss_hurricane,-0.018,TRUE
mallucci2020_ifdp_table2,B,ATG,spread_mean_bp,456,TRUE
mallucci2020_ifdp_table2,B,BLZ,spread_mean_bp,126,TRUE
mallucci2020_ifdp_table2,B,DMA,spread_mean_bp,356,TRUE
mallucci2020_ifdp_table2,B,DOM,spread_mean_bp,477,TRUE
mallucci2020_ifdp_table2,B,GRD,spread_mean_bp,489,TRUE
mallucci2020_ifdp_table2,B,HND,spread_mean_bp,429,TRUE
mallucci2020_ifdp_table2,B,JAM,spread_mean_bp,479,TRUE
mallucci2020_ifdp_table2,B,ATG,default_freq,0.038,TRUE
mallucci2020_ifdp_table2,B,BLZ,default_freq,0.012,TRUE
mallucci2020_ifdp_table2,B,DMA,default_freq,0.03,TRUE
mallucci2020_ifdp_table2,B,DOM,default_freq,0.04,TRUE
mallucci2020_ifdp_table2,B,GRD,default_freq,0.04,TRUE
mallucci2020_ifdp_table2,B,HND,default_freq,0.037,TRUE
mallucci2020_ifdp_table2,B,JAM,default_freq,0.04,TRUE
mallucci2020_ifdp_table2,B,ATG,debt_gdp,0.15,TRUE
mallucci2020_ifdp_table2,B,BLZ,debt_gdp,0.68,TRUE
mallucci2020_ifdp_table2,B,DMA,debt_gdp,0.23,TRUE
mallucci2020_ifdp_table2,B,DOM,debt_gdp,0.13,TRUE
mallucci2020_ifdp_table2,B,GRD,debt_gdp,0.17,TRUE
mallucci2020_ifdp_table2,B,HND,debt_gdp,0.09,TRUE
mallucci2020_ifdp_table2,B,JAM,debt_gdp,0.16,TRUE
mallucci2020_ifdp_table2,B,ATG,hurricane_freq,0.139,TRUE
mallucci2020_ifdp_table2,B,BLZ,hurricane_freq,0.064,TRUE
mallucci2020_ifdp_table2,B,DMA,hurricane_freq,0.027,TRUE
mallucci2020_ifdp_table2,B,DOM,hurricane_freq,0.043,TRUE
mallucci2020_ifdp_table2,B,GRD,hurricane_freq,0.051,TRUE
mallucci2020_ifdp_table2,B,HND,hurricane_freq,0.047,TRUE
mallucci2020_ifdp_table2,B,JAM,hurricane_freq,0.073,TRUE
mallucci2020_ifdp_table2,B,ATG,gdp_loss_hurricane,-0.078,TRUE
mallucci2020_ifdp_table2,B,BLZ,gdp_loss_hurricane,-0.05,TRUE
mallucci2020_ifdp_table2,B,DMA,gdp_loss_hurricane,-0.109,TRUE
mallucci2020_ifdp_table2,B,DOM,gdp_loss_hurricane,-0.048,TRUE
mallucci2020_ifdp_table2,B,GRD,gdp_loss_hurricane,-0.083,TRUE
mallucci2020_ifdp_table2,B,HND,gdp_loss_hurricane,-0.06,TRUE
mallucci2020_ifdp_table2,B,JAM,gdp_loss_hurricane,-0.034,TRUE
mallucci2020_ifdp_table2,C,ATG,spread_mean_bp,436,TRUE
mallucci2020_ifdp_table2,C,BLZ,spread_mean_bp,109,TRUE
mallucci2020_ifdp_table2,C,DMA,spread_mean_bp,338,TRUE
mallucci2020_ifdp_table2,C,DOM,spread_mean_bp,489,TRUE
mallucci2020_ifdp_table2,C,GRD,spread_mean_bp,497,TRUE
mallucci2020_ifdp_table2,C,HND,spread_mean_bp,416,TRUE
mallucci2020_ifdp_table2,C,JAM,spread_mean_bp,395,TRUE
mallucci2020_ifdp_table2,C,ATG,default_freq,0.037,TRUE
mallucci2020_ifdp_table2,C,BLZ,default_freq,0.011,TRUE
mallucci2020_ifdp_table2,C,DMA,default_freq,0.029,TRUE
mallucci2020_ifdp_table2,C,DOM,default_freq,0.04,TRUE
mallucci2020_ifdp_table2,C,GRD,default_freq,0.041,TRUE
mallucci2020_ifdp_table2,C,HND,default_freq,0.034,TRUE
mallucci2020_ifdp_table2,C,JAM,default_freq,0.039,TRUE
mallucci2020_ifdp_table2,C,ATG,debt_gdp,0.18,TRUE
mallucci2020_ifdp_table2,C,BLZ,debt_gdp,0.71,TRUE
mallucci2020_ifdp_table2,C,DMA,debt_gdp,0.24,TRUE
mallucci2020_ifdp_table2,C,DOM,debt_gdp,0.14,TRUE
mallucci2020_ifdp_table2,C,GRD,debt_gdp,0.19,TRUE
mallucci2020_ifdp_table2,C,HND,debt_gdp,0.1,TRUE
mallucci2020_ifdp_table2,C,JAM,debt_gdp,0.17,TRUE
