# Valores objetivo de la replica: Mallucci (2022), Journal of International Economics 139, Tabla 2.
# Paneles B (con huracan) y C (sin huracan). Transcritos de la Primera Entrega del grupo.
# verified=FALSE -> pendiente de cotejar contra el PDF publicado (ver docs/02_bitacora.md).
source,panel,iso3,moment,value,verified
mallucci2022_jie_table2,B,DOM,spread_mean_bp,497,FALSE
mallucci2022_jie_table2,B,DOM,debt_gdp,0.25,FALSE
mallucci2022_jie_table2,B,DOM,hurricane_freq,0.046,FALSE
mallucci2022_jie_table2,B,DOM,gdp_loss_hurricane,-0.042,FALSE
mallucci2022_jie_table2,B,DOM,default_freq,0.040,FALSE
mallucci2022_jie_table2,B,JAM,spread_mean_bp,526,FALSE
mallucci2022_jie_table2,B,JAM,debt_gdp,0.53,FALSE
mallucci2022_jie_table2,B,JAM,hurricane_freq,0.091,FALSE
mallucci2022_jie_table2,B,JAM,gdp_loss_hurricane,-0.025,FALSE
mallucci2022_jie_table2,B,JAM,default_freq,0.043,FALSE
mallucci2022_jie_table2,C,DOM,spread_mean_bp,423,FALSE
mallucci2022_jie_table2,C,DOM,debt_gdp,0.28,FALSE
mallucci2022_jie_table2,C,DOM,default_freq,0.034,FALSE
mallucci2022_jie_table2,C,JAM,spread_mean_bp,400,FALSE
mallucci2022_jie_table2,C,JAM,debt_gdp,0.67,FALSE
mallucci2022_jie_table2,C,JAM,default_freq,0.030,FALSE
