profile,engine,spec,panel,counter,iso3,country_es,moment,moment_label,value,source_var,target,verified,source,gap,gap_pct
paper_memlite,matlab,panelB_hurricane,B,7,JAM,Jamaica,spread_mean_bp,Spread promedio (pb),584.1159539100238,meanspread_sim,554.0,True,mallucci2022_jie_table2,30.11595391002379,5.4360927635422005
paper_memlite,matlab,panelB_hurricane,B,7,JAM,Jamaica,spread_median_bp,Spread mediano (pb),93.66859167583618,medianspread_sim,103.0,True,mallucci2022_jie_table2,-9.331408324163817,-9.05961973219788
paper_memlite,matlab,panelB_hurricane,B,7,JAM,Jamaica,debt_gdp,Deuda externa/PIB,0.484634640267783,meanBY_sim,0.49,True,mallucci2022_jie_table2,-0.005365359732216968,-1.09497137392183
paper_memlite,matlab,panelB_hurricane,B,7,JAM,Jamaica,debt_gdp_market,Deuda/PIB (valor de mercado),0.431810846083966,meanBY_sim_market,0.43,True,mallucci2022_jie_table2,0.0018108460839660334,0.42112699627117056
paper_memlite,matlab,panelB_hurricane,B,7,JAM,Jamaica,hurricane_freq,Frecuencia de huracan,0.095,hur_freq_sim,0.093,True,mallucci2022_jie_table2,0.0020000000000000018,2.1505376344086042
paper_memlite,matlab,panelB_hurricane,B,7,JAM,Jamaica,gdp_loss_hurricane,Perdida de PIB (huracan),-0.0241130251254277,gdp_g_h_sim,-0.023,True,mallucci2022_jie_table2,-0.0011130251254276996,-4.839239675772607
paper_memlite,matlab,panelB_hurricane,B,7,JAM,Jamaica,default_freq,Frecuencia de default,0.0422154804334879,def_freq_sim,0.043,True,mallucci2022_jie_table2,-0.0007845195665120985,-1.8244641081676711
paper_memlite,matlab,panelB_hurricane,B,1,ATG,Antigua y Barbuda,spread_mean_bp,Spread promedio (pb),464.22952437958287,meanspread_sim,465.0,True,mallucci2022_jie_table2,-0.7704756204171304,-0.16569368181013555
paper_memlite,matlab,panelB_hurricane,B,4,DOM,Republica Dominicana,spread_mean_bp,Spread promedio (pb),507.2517675667849,meanspread_sim,479.0,True,mallucci2022_jie_table2,28.251767566784906,5.89807256091543
paper_memlite,matlab,panelB_hurricane,B,5,GRD,Granada,spread_mean_bp,Spread promedio (pb),472.144772721231,meanspread_sim,484.0,True,mallucci2022_jie_table2,-11.855227278769007,-2.4494271237126046
